parid,elev
6749132,15
5641996,15
6632979,20
5988601,20
5988031,20
5988007,20
3139925,10
5988562,20
5987931,20
5988562,20
6632502,20
6796131,20
5988228,20
6632286,20
5987701,20
6632308,20
3541138,10
6632308,20
5988414,20
3541782,10
3541723,10
3542029,10
6796173,20
3541961,10
3541952,10
3541944,10
3541065,10
4537279,5
6796157,20
6632863,20
4537279,5
4535977,5
5988325,20
6632766,20
6632723,20
5364283,5
3541324,10
6632201,20
6632596,20
4536612,5
6632553,20
6796211,20
6632189,20
6796190,20
6632189,20
6633134,20
6632243,20
3541391,10
4537007,5
5364011,5
6632774,20
5987574,20
6632243,20
6632561,20
6633151,20
6796289,20
6796262,20
4534121,10
5988121,20
4537163,5
3100441,10
6633274,20
6632138,20
3105303,15
5988244,20
3105486,15
4590412,10
4990411,25
5492745,10
3134125,10
3139330,10
3248694,25
3291484,40
3139313,10
3388224,15
4589902,10
3396499,15
3291590,40
3291786,35
3299566,10
3410734,10
3299647,10
3306716,5
3306813,5
4589872,10
3416422,15
3416368,15
3424204,20
3424085,20
3445694,45
3306813,5
3445741,30
4590587,10
3378903,15
3446038,35
3466209,5
3502230,5
3533402,10
3108426,20
4591044,10
3109970,10
6749141,15
3540786,10
3540859,10
3247523,25
3109945,10
3109937,10
6633029,20
4590757,10
6632758,20
6633444,20
6633436,20
6632715,20
6632723,20
5987655,20
6633436,20
5988040,20
5987591,20
4590544,10
5988023,20
6796122,20
5987591,20
6796211,20
6796190,20
6796181,20
6796122,20
6796297,20
6796246,20
6633088,20
4590561,10
3107799,20
3532635,5
5988431,20
6633371,20
5988546,20
3532481,5
4590897,10
6632464,20
6632464,20
6796017,20
6632294,20
6413291,20
3532481,5
5988171,20
4590871,10
5988121,20
5988121,20
3542975,5
3542975,5
3542924,5
3542967,5
4988742,25
6616035,10
4590871,10
4522352,15
4988343,25
4522506,15
4988343,25
4988840,25
4988459,25
4589091,10
4589031,10
4588892,10
4807187,20
4588884,10
4617183,15
4590536,10
4588566,10
4588680,10
4617205,15
4617230,15
4588841,10
5652211,20
6615802,10
6615756,10
6615951,10
4590480,10
6615217,10
6615756,10
6616141,10
5654206,20
6615675,10
6616141,10
3112067,5
3112041,5
3431197,25
6616124,10
6535787,15
6533083,15
4590242,10
6615101,10
6535108,15
6004498,15
6004218,15
3431162,25
6533504,15
6003203,15
6533482,15
6534730,15
4590471,10
6535442,15
6535442,15
6534624,15
3431065,25
6004731,15
3272897,40
3273168,40
3394283,15
3431871,25
4590471,10
6004579,15
3432398,25
3273435,35
6003831,15
6003815,15
6780030,20
6780374,20
6003955,15
6780021,20
6780081,20
3282728,10
6004129,15
6260940,20
3432291,25
6260869,20
6261334,20
3285212,20
6260869,20
3284674,10
3285808,10
6261067,20
6260290,20
3304004,10
6261059,20
5987761,20
6836558,20
3301170,10
4717919,20
6260729,20
3302940,15
3303024,15
4718729,15
3303261,20
3303385,10
4718559,15
3433122,25
3303407,10
3394313,15
3303580,10
3303661,10
5916448,20
6291675,20
3303695,10
3303750,10
3433882,25
6260516,20
3108400,20
3303792,10
6291977,20
3304098,10
3108418,20
4552006,25
3108418,20
6837091,20
3431740,25
6556423,5
6750114,25
6557624,5
6557241,5
6557381,5
3112512,5
5651878,20
3391390,10
3431120,25
5128946,25
3431987,25
5128946,25
3431979,25
6749957,15
6749825,15
6750165,25
6224897,20
6616744,20
6224871,20
3392442,5
3110650,20
8001294,25
3570669,20
3110421,20
5256839,20
3575148,30
6796068,20
6796041,20
3106911,20
4990178,25
6796033,20
3106555,20
5569381,20
3574699,30
3574699,30
3574737,30
3574541,25
5586910,10
4990178,25
5587011,10
6252904,25
5569373,20
5586812,10
5586936,10
5617891,20
5631397,30
5631010,30
4990551,25
5631010,30
5631133,30
5629376,30
5629376,30
5631087,30
5629376,30
4989960,25
5629317,30
5631087,30
5629317,30
5639983,25
5629309,30
5639975,25
4990496,25
5639746,25
5651754,20
5652122,20
5652106,20
5629309,30
5653510,20
5652084,20
5651860,20
6750106,25
5631206,30
5631460,30
5190382,20
5655725,20
5705731,30
5655661,20
6646694,15
5702901,20
5655610,20
5702936,20
5655709,20
5703339,20
5348083,25
6251282,15
5753638,20
5753816,20
5916871,20
5703274,20
5703118,20
5759326,20
5702910,20
5759083,20
5831558,20
5832988,20
5779513,20
5830756,20
5830853,20
5830772,20
5832155,20
3394313,15
